quote_id,pid,pattern_id,theme,subtheme,quote_full,quote_short,context,confidence_level,ref_id
Q036,P08,P1,tour_design,key_selling_point,"'chưa thấy key selling point': điểm nhấn; 'chưa hình dung được chuyến đi này như thế nào'; cần góc đẹp, cảnh đẹp",Chưa có key selling point; cần góc đẹp/cảnh đẹp,Reaction concept,trung_binh,T_P08_2026Q1_p24
Q037,P08,P4,staging_skepticism,nuanced_pro_staging,'người làm du lịch tại địa phương chắc chắn đang biểu diễn cho mình xem' - nhưng biểu diễn cũng là hình thức quảng bá cho nhiều người biết nên cô vẫn hoan nghênh,Dàn dựng là quảng bá; vẫn hoan nghênh (nuanced),Nhận định về tính chân thực,trung_binh,T_P08_2026Q1_p23
Q038,P08,,context,acceptable_price,Mức giá chấp nhận được: 5 triệu,WTP 5tr,Concept feedback,cao,T_P08_2026Q1_p24
Q039,P09,P5,destination_credibility,nam_dinh_cau,Điểm đến Nam Định là thứ 'cản lại chị'. Vì khi muốn đi du lịch chị sẽ tìm kiếm thông tin địa điểm sắp đến sẽ có hứng thú hơn nếu là một điểm du lịch nổi tiếng,Nam Định là rào cản (chưa nổi tiếng),Reaction concept,trung_binh,T_P09_2026Q1_p26
Q040,P09,S1,vietnamese_studies,foreign_genz,Đối tượng phù hợp: 70% là người nước ngoài; 30% là thế hệ gen Z - thế hệ khá tò mò với những chủ đề văn hoá,Target = 70% nước ngoài + 30% GenZ,Đánh giá target,trung_binh,T_P09_2026Q1_p26
Q041,P09,,context,convert_intent_high,"Cho rằng bản thân phù hợp 80%. Mức độ hứng thú: 4 trên 5; đánh giá cao câu chuyện dẫn dắt, chủ đề và hoạt động ăn uống tại nhà dân",Tự rate fit 80%; hứng thú 4/5; thích ăn uống tại nhà dân,Reaction concept,cao,T_P09_2026Q1_p26
Q042,P09,,context,acceptable_price,trên 10 triệu (quá đắt); mức giá hợp lý (5-7 triệu); quá rẻ (3 triệu),WTP 5-7tr; >10tr quá đắt,Mức chấp nhận giá,cao,T_P09_2026Q1_p26
Q043,P09,P4,staging_skepticism,authenticity,"Nhắc tới Sapa, Hạ Long khi nhắc tới 'trình diễn văn hoá'. Sự chân thực = sự thật thà, chân thành trong dịch vụ khách hàng",Sapa/Hạ Long = trình diễn; authenticity = chân thành dịch vụ,Sự chân thực trong du lịch,som,T_P09_2026Q1_p25
Q044,P10,,context,convert_intent_high,Vô cùng ý nghĩa - cá nhân sẽ tham gia,'Cá nhân sẽ tham gia' (strong convert intent),Concept reaction first response,cao,T_P10_2026Q1_p5
Q045,P10,P3,identity_mismatch,age_gen_x,Lứa tuổi chị (Gen X) - rất oke. Giới trẻ - không phù hợp. Tầm 40 trở lên,Target = Gen X / 40+; KHÔNG giới trẻ,Đặc điểm người phù hợp,trung_binh,T_P10_2026Q1_p6
Q046,P10,P1,tour_design,storytelling,Có khả năng truyền đạt dệt câu chuyện dẫn dắt người nghe tốt. Cùng một concept - 'như cơm nguội' - không engage được khán giả. Dễ nghe dễ hiểu dễ thấm,Cần guide 'dệt được câu chuyện'; nếu không = 'cơm nguội',Mức độ sâu của tour,trung_binh,T_P10_2026Q1_p6
Q047,P10,S2,am_thuc,soft_element,"Đặc sản địa phương, yếu tố khác ngoài văn hoá. Lứa tuổi của các chị (sức khoẻ): không bị chạy theo lịch trình nhẹ nhàng",Đặc sản + lịch trình nhẹ nhàng,Kỳ vọng hoạt động chính,som,T_P10_2026Q1_p6
Q048,P11,P1,tour_design,academic_overwhelm,'như vừa trở về thời đại học'; các môn học gắn liền với lịch sử tín ngưỡng. Cảm xúc 'lo lắng' vì sợ ko đi hết được các điểm và tải được hết kiến thức,Concept như 'thời đại học'; lo lắng kiến thức tải không hết,Reaction đầu concept,trung_binh,T_P11_2026Q1_p7
Q049,P11,S2,am_thuc,soft_interleave,nên đan xen các hoạt động ngắm cảnh (như cảnh biển cảnh làng quê vào buổi chiều) các hoạt động khám ẩm thực,Suggest đan xen ngắm cảnh + ẩm thực,Suggestion cho concept,trung_binh,T_P11_2026Q1_p8
Q050,P11,H1,tin_nguong_interest,tho_mau,'nhà chị năm nào cũng đi các hoạt động tâm linh như tới đền phủ'; chị rất quan tâm tới tín ngưỡng thờ Mẫu,Rất quan tâm tín ngưỡng thờ Mẫu (H1 strong signal),Reaction concept tour Đạo Mẫu,som,T_P11_2026Q1_p8
Q051,P11,S1,vietnamese_studies,foreign_company,sẽ đồng hành cùng bạn bè là nước ngoài; bạn bè người Việt xung quanh chị sẽ ko hứng thú,Đi với bạn nước ngoài; bạn VN xung quanh không hứng thú,Nghĩ về bạn đồng hành nếu đi,trung_binh,T_P11_2026Q1_p8
Q052,P11,P4,staging_skepticism,nuanced_pro_staging,'sự dàn dựng' khi có sự biến tấu -> ko tốt; còn nếu dàn dựng theo hướng 'có tổ chức' 'chuyên nghiệp trong tổ chức du lịch -> tích cực,Biến tấu = không tốt; tổ chức chuyên nghiệp = tích cực,Nhận định về dàn dựng,trung_binh,T_P11_2026Q1_p8
Q053,P12,,context,convert_intent_high,Ưu tiên - muốn tham gia (4 điểm). Cảm quan ban đầu: Chương trình tour - hấp dẫn,Rate 4/5; muốn tham gia,Reaction concept,cao,T_P12_2026Q1_p11
Q054,P12,P5,destination_credibility,nam_dinh_tag,Nam định - cần người tag along,Nam Định cần người tag-along (chưa nhận diện),Reaction concept,som,T_P12_2026Q1_p11
Q055,P12,S1,vietnamese_studies,foreign_target,Khách người nước ngoài. Loại hình văn hoá - không thích đi theo dạng check in,Tự nhận target = khách nước ngoài,Ai muốn tham gia,trung_binh,T_P12_2026Q1_p11
Q056,P12,S2,am_thuc,local_strengths,"Phải hiểu con người, ẩm thực, điểm mạnh của địa phương, mức sinh hoạt chung",Tour phải có con người + ẩm thực + điểm mạnh địa phương,Tiêu chí đi tour,trung_binh,T_P12_2026Q1_p11
Q057,P12,,context,acceptable_price,3 ngày: 4tr rưỡi,WTP 4tr5/3 ngày,Tour phù hợp tầm bao nhiêu,cao,T_P12_2026Q1_p11
Q058,P13,P1,tour_design,gamification,Nên 'cá tính hóa' hoặc 'game hóa' tour để gia tăng mức độ immerse in của khách tham gia,Cá tính hoá / game hoá tour,Suggest cải tiến concept,som,T_P13_2026Q1_p12
Q059,P13,,context,acceptable_price,"Mức chấp nhận được: 7-8tr/người, nhưng vẫn thiếu nhiều yếu tố về chất lượng lưu trú, ăn uống. Từ 10 triệu trở xuống sẽ có thể cân nhắc",WTP 7-8tr/người; <10tr cân nhắc,Concept reaction price,cao,T_P13_2026Q1_p12
Q060,P13,P5,destination_credibility,post_merger_repositioning,Du lịch sau sáp nhập -> địa phương cần tái định vị lại sản phẩm. Điều thu hút thầy ko phải điểm đến mà là con người ở tại điểm đến,Sau sáp nhập địa phương cần tái định vị; con người > điểm đến,Nhận định macro về du lịch,som,T_P13_2026Q1_p12
Q061,P14,H1,tin_nguong_interest,dao_mau_curiosity,Muốn đi - rất tò mò về đạo mẫu,Strong convert intent + H1 (tò mò Đạo Mẫu),Reaction concept đầu tiên,trung_binh,T_P14_2026Q1_p13
Q062,P14,P3,identity_mismatch,target_genz_genY,Concept hàn lâm - người không biết sẽ bị confused. Tuỳ vô TA là ai? Gen Z - Gen Y. Một số hoạt động không phù hợp với lứa tuổi lớn hơn,Concept hàn lâm; target GenZ-GenY,Reaction concept,trung_binh,T_P14_2026Q1_p13
Q063,P14,S2,am_thuc,community_immersion,"Mọi thứ đầu hấp dẫn - Ăn cơm, đạp xe cùng địa phương",Ăn cơm + đạp xe cùng địa phương = hấp dẫn,Điều gì hấp dẫn nhất,trung_binh,T_P14_2026Q1_p13
Q064,P14,P5,destination_credibility,logistics_distance,Giao thông - do chị ở HCM,Logistics HCM-Nam Định là rào cản,Điều gì thay đổi để đông ý,som,T_P14_2026Q1_p13
Q065,P14,P4,staging_skepticism,exclusion_dynamic,"Có, măng đen, chính quyền đầu tư, tái định cư cho phụ nữ. Phiên chợ mô hình nhà sàn. Lần này chị đi - người kinh thuê hết - sản phẩm không còn tự nhiên nữa",Măng đen: người Kinh thuê hết → mất tự nhiên,Đã thấy địa phương đang biểu diễn,trung_binh,T_P14_2026Q1_p14
Q066,P14,,context,acceptable_price,6tr - 8tr = phù hợp; 8tr = quá mắc; 5tr - 6tr = Deal tốt,WTP 6-8tr; deal 5-6tr; >8tr quá mắc,Mức giá nào phù hợp,cao,T_P14_2026Q1_p14
Q067,P11,P2,social_dependency,friend_decisive,"""Bạn tham gia cùng"" là yếu tố quyết định, không phải ""đi đâu""","Bạn đi cùng quyết định việc đi, KHÔNG phải điểm đến",Mô tả pattern lên kế hoạch (hứng lên → hỏi bạn → bạn ok → đi),trung_binh,T_P11_2026Q1_p7
Q068,P10,P2,social_dependency,family_priority_one,Các con - ưu tiên số một,Con là ưu tiên số 1 trong quyết định du lịch,Hỏi nếu người thân giới thiệu tour văn hoá có nhận lời không,trung_binh,T_P10_2026Q1_p6
Q069,P06,P2,social_dependency,parent_led_reverse,Rủ = không đi. Bố mẹ rủ có thể đi do tín ngưỡng,Bạn rủ = không đi; bố mẹ rủ thì đi,"Hỏi bạn bè/người quen rủ đi cùng (Phần 2 Concept). Trục family đảo ngược — KHÔNG tự khởi xướng, nhưng bố mẹ rủ thì đi",som,T_P06_2026Q1_p18
Q070,P01,H1,tin_nguong_interest,phat_giao_buddhism,"Chuyến đi mang hình thức tâm linh - tới Ấn Độ. Bồ đề đạo tràng: Mục tiêu - Được thiền dưới chân gốc bồ đề. Không nằm ở cảnh quan, văn hoá ẩm thực - nằm ở nội tại, triết lý phật giáo","Tâm linh = Phật giáo (Bồ Đề Đạo Tràng, thiền)","Chuyến đi ấn tượng nhất + định nghĩa ""cảm xúc trọn vẹn"". LƯU Ý: tín ngưỡng PHẬT GIÁO, KHÔNG phải Đạo Mẫu — caveat data có chủ đích",som,T_P01_2026Q1_p5
Q071,P05,P6,familiarity_bias,domestic_no_demand,"Không quen thuộc lắm, tại bản thân mình ở đấy nên không có nhu cầu. Ít có tỉnh nào có sự phong phú về di tích","""Mình ở đấy nên không có nhu cầu"" — văn hoá VN quen quá","Trả lời: ở nước ngoài thì nghe văn hoá lịch sử nhiều, ở VN thì sao? P05 khớp framing familiarity-bias của P6; các participant khác phê ""Nam Định ít khu du lịch"" → đó là P5, KHÔNG phải P6",som,T_P05_2026Q1_p16
Q072,P15,P6,familiarity_bias,self_guided_value_gap,"Với một điểm đến ở Việt Nam, tôi không nhất thiết cần đi tour vì có thể tự đi được và không có quá nhiều barrier.","Không nhất thiết cần đi tour vì có thể tự đi; không có quá nhiều barrier.","Compiled participant record entry 140; participant quote, edited for clarity.",som,F_P15_2026Q2_r140
Q073,P02,P1,tour_design,hands_on_preference,"Tôi muốn được chạm vào hoạt động nhiều hơn thay vì chỉ ngồi nghe. Những phần như tham gia hoạt động cộng đồng, homestay hoặc bước vào đời sống cộng đồng sẽ hấp dẫn hơn.","Muốn chạm vào hoạt động thay vì chỉ ngồi nghe","Compiled participant record entry 015; participant quote, edited for clarity.",trung_binh,F_P02_2026Q2_r015
Q074,P03,P1,tour_design,hands_on_heritage,"Những trải nghiệm làng nghề sẽ hấp dẫn hơn nếu người tham gia được chạm tay vào hoạt động thật, như thêu thùa, may vá hoặc làm một phần nhỏ của nghề.","Làng nghề hấp dẫn hơn nếu được chạm tay vào hoạt động thật","Compiled participant record entry 080; participant quote, edited for clarity.",trung_binh,F_P03_2026Q2_r080
Q075,P11,P1,tour_design,touch_heritage,"Điều quan trọng là không chỉ nghe về di sản, mà phải được chạm vào di sản.","Không chỉ nghe về di sản, mà phải được chạm vào di sản","Compiled participant record entry 101; participant quote, edited for clarity.",trung_binh,F_P11_2026Q2_r101
Q076,P14,P1,tour_design,community_activity,"Những phần như ăn cơm và đạp xe cùng địa phương đều hấp dẫn với tôi.","Ăn cơm và đạp xe cùng địa phương đều hấp dẫn","Compiled participant record entry 126; participant quote, edited for clarity.",trung_binh,F_P14_2026Q2_r126
Q077,P09,,social_dependency,friend_group_travel,"Khoảng 80% chuyến đi của tôi là đi cùng nhóm bạn, thường khoảng bốn người. Gợi ý từ bạn bè và người thân có ảnh hưởng khá lớn.","80% chuyến đi là đi cùng nhóm bạn; gợi ý từ bạn bè/người thân ảnh hưởng lớn","Context-only for B2 companion card; not counted toward P2 occurrence.",som,F_P09_2026Q2_r064
Q078,P12,,social_dependency,tag_along_important,"Ấn tượng ban đầu của tôi là chương trình hấp dẫn. Với Nam Định, có người đi cùng sẽ quan trọng hơn. Tôi đánh giá mức muốn tham gia khoảng 4/5.","Với Nam Định, có người đi cùng sẽ quan trọng hơn","Context-only for B2 companion card; not counted toward P2 occurrence.",som,F_P12_2026Q2_r110
Q079,P15,,identity_mismatch,text_heavy_visual_search,"Concept hơi nhiều chữ. Bình thường tôi chỉ nhìn địa điểm rồi lên TikTok search, chứ không đọc phần giới thiệu quá dài.","Concept nhiều chữ; thường nhìn địa điểm rồi search TikTok","Context-only for B3 visual-proof card; not counted toward P3 occurrence.",som,F_P15_2026Q2_r137
Q080,P04,P4,staging_skepticism,authenticity_loss_sapa,"Sapa bây giờ mất bản sắc khá nhiều. Khách sạn mọc lên quá nhiều, nên cảm giác không khác Hà Nội là mấy. Tôi vẫn thích những nơi giữ được nét nguyên thuỷ và bản sắc dân tộc.","Sapa mất bản sắc; thích nơi còn nét nguyên thuỷ","Compiled participant record entry 020; participant quote, edited for clarity.",trung_binh,F_P04_2026Q2_r020
Q081,P03,P4,staging_skepticism,local_life_immersion,"Tôi nhớ những trải nghiệm như ngủ ở nhà sàn, thức dậy với mùi khói và thấy người dân sinh hoạt xung quanh. Tôi thích cảm giác được ở giữa đời sống đó, vừa quan sát vừa hoà vào.","Thích cảm giác ở giữa đời sống địa phương, vừa quan sát vừa hoà vào","Compiled participant record entry 076; participant quote, edited for clarity.",trung_binh,F_P03_2026Q2_r076
Q082,P13,P4,staging_skepticism,people_over_destination,"Điều thu hút tôi không phải bản thân điểm đến, mà là con người ở tại điểm đến đó.","Điều thu hút không phải điểm đến, mà là con người ở đó","Compiled participant record entry 116; participant quote, edited for clarity.",trung_binh,F_P13_2026Q2_r116
Q083,P15,P4,staging_skepticism,local_participation_marker,"Một trải nghiệm local thật là nơi người địa phương cũng đến xem hoặc tham gia, chứ không chỉ có khách du lịch.","Local thật là nơi người địa phương cũng đến xem hoặc tham gia","Compiled participant record entry 136; participant quote, edited for clarity.",trung_binh,F_P15_2026Q2_r136
Q084,P07,P5,destination_credibility,visual_hook,"Với số đông, tour cần có hook rất nhanh trên mạng xã hội. Người xem chỉ tiếp xúc thông tin trong 30 giây đến 1 phút, nên hình ảnh và video ngắn phải đủ cuốn.","Cần hook nhanh bằng hình ảnh/video ngắn đủ cuốn","Compiled participant record entry 047; participant quote, edited for clarity.",trung_binh,F_P07_2026Q2_r047
Q085,P14,P5,destination_credibility,local_labour_imagery,"Những hình ảnh người bình thường đang lao động ở địa phương là thứ tôi thường ghi nhớ lâu nhất sau chuyến đi.","Hình ảnh người địa phương lao động là thứ ghi nhớ lâu nhất","Compiled participant record entry 122; participant quote, edited for clarity.",trung_binh,F_P14_2026Q2_r122
Q086,P15,P5,destination_credibility,visual_proof,"Nếu có hình ảnh minh hoạ rõ ràng, tôi sẽ dễ hình dung trải nghiệm và hoạt động ở từng điểm đến hơn. Như vậy sẽ thuyết phục hơn nhiều.","Có hình ảnh minh hoạ rõ sẽ dễ hình dung và thuyết phục hơn","Compiled participant record entry 141; participant quote, edited for clarity.",trung_binh,F_P15_2026Q2_r141
Q087,P09,S2,am_thuc,host_meal,"Mức hứng thú của tôi khoảng 4/5. Tôi đánh giá cao câu chuyện dẫn dắt, chủ đề và phần ăn uống tại nhà dân.","Đánh giá cao câu chuyện dẫn dắt và phần ăn uống tại nhà dân","Compiled participant record entry 070; participant quote, edited for clarity.",trung_binh,F_P09_2026Q2_r070
Q088,P03,S2,am_thuc,market_sensory,"Ở một thành phố, tôi thích đi chợ và bảo tàng. Chợ cho mình cảm giác náo nhiệt, mùi hương và xúc cảm rất thật.","Chợ tạo cảm giác náo nhiệt, mùi hương và xúc cảm rất thật","Compiled participant record entry 075; participant quote, edited for clarity.",trung_binh,F_P03_2026Q2_r075
Q089,P15,S2,am_thuc,food_cycling_preference,"Ngày đầu tôi không hứng thú. Ngày hai, phần đạp xe phố cổ và khám phá ẩm thực hấp dẫn hơn. Ngày ba thì tôi không quá muốn đi.","Đạp xe phố cổ và khám phá ẩm thực hấp dẫn hơn","Compiled participant record entry 138; participant quote, edited for clarity.",trung_binh,F_P15_2026Q2_r138
Q090,P01,H1,tin_nguong_interest,spiritual_safety,"Với chủ đề tâm linh, người tham gia rất dễ có cảm giác sợ hoặc phòng bị. Tour cần tạo được một vùng an toàn để họ có thể tiếp nhận và đặt câu hỏi.","Chủ đề tâm linh cần vùng an toàn để tiếp nhận và đặt câu hỏi","Compiled participant record entry 008; participant quote, edited for clarity.",som,F_P01_2026Q2_r008
