record_id,pdf_entry_id,pid,record_type,theme,subtheme,record_text,record_short,source_status,context,ref_id
R011,011,P02,Concept overload,,,"“Lịch trình 3 ngày 2 đêm khiến tôi hơi ngộp. Tour có vẻ cần tập trung quá nhiều, nên tôi sợ sẽ bị mệt nếu không có đủ thời gian nghỉ ngơi.”","“Lịch trình 3 ngày 2 đêm khiến tôi hơi ngộp. Tour có vẻ cần tập trung quá nhiều, nên tôi sợ sẽ bị mệt nếu không có đủ thời gian nghỉ ngơi.”","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r011
R012,012,P02,Need soft/freestyle activities,,,"“Nếu có những phần ngắn hơn, nhẹ hơn, kiểu nửa buổi hoặc có hoạt động tự do để giao lưu, tôi sẽ thấy dễ tiếp cận hơn.”","“Nếu có những phần ngắn hơn, nhẹ hơn, kiểu nửa buổi hoặc có hoạt động tự do để giao lưu, tôi sẽ thấy dễ tiếp cận hơn.”","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r012
R013,013,P02,Academic positioning,,,"“Concept hiện tại có thiên hướng học tập và nghiên cứu. Với người chỉ muốn đi chơi và tìm hiểu sơ qua như tôi, cách tiếp cận này có thể hơi đáng sợ.”","“Concept hiện tại có thiên hướng học tập và nghiên cứu. Với người chỉ muốn đi chơi và tìm hiểu sơ qua như tôi, cách tiếp cận này có thể hơi đáng sợ.”","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r013
R014,014,P02,Lack of hook,,,"“Tôi có hứng thú một chút, nhưng tour chưa có yếu tố hook đủ mạnh. Nếu mọi thứ thuận lợi thì tôi có thể đi, nhưng chưa phải kiểu muốn book ngay.”","“Tôi có hứng thú một chút, nhưng tour chưa có yếu tố hook đủ mạnh. Nếu mọi thứ thuận lợi thì tôi có thể đi, nhưng chưa phải kiểu muốn book ngay.”","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r014
R015,015,P02,Hands-on preference,,,"“Tôi muốn được chạm vào hoạt động nhiều hơn thay vì chỉ ngồi nghe. Những phần như tham gia hoạt động cộng đồng, homestay hoặc bước vào đời sống cộng đồng sẽ hấp dẫn hơn.”","“Tôi muốn được chạm vào hoạt động nhiều hơn thay vì chỉ ngồi nghe. Những phần như tham gia hoạt động cộng đồng, homestay hoặc bước vào đời sống cộng đồng sẽ hấp dẫn hơn.”","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r015
R016,016,P02,Sustainable tourism awareness,,,"“Tôi chưa nghĩ sâu về du lịch bền vững. Nếu tour có thêm yếu tố đó thì tôi welcome, nhưng tôi vẫn muốn biết chi phí sẽ tăng lên bao nhiêu.”","“Tôi chưa nghĩ sâu về du lịch bền vững. Nếu tour có thêm yếu tố đó thì tôi welcome, nhưng tôi vẫn muốn biết chi phí sẽ tăng lên bao nhiêu.”","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r016
R017,017,P04,Premium service standard,,,"“Tôi khá thoải mái khi bỏ tiền cho dịch vụ cao cấp, nhưng khi đã chi tiền thì tôi sẽ đánh giá chất lượng rất kỹ.”","“Tôi khá thoải mái khi bỏ tiền cho dịch vụ cao cấp, nhưng khi đã chi tiền thì tôi sẽ đánh giá chất lượng rất kỹ.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r017
R018,018,P04,Family constraints,,,"“Từ khi có con, khả năng đi những chuyến khám phá hoặc trải nghiệm giảm đi rất nhiều. Hiện tại, du lịch của gia đình tôi chủ yếu là nghỉ dưỡng.”","“Từ khi có con, khả năng đi những chuyến khám phá hoặc trải nghiệm giảm đi rất nhiều. Hiện tại, du lịch của gia đình tôi chủ yếu là nghỉ dưỡng.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r018
R019,019,P04,Safety as default,,,"“Với gia đình có con nhỏ, nghỉ dưỡng tạo cảm giác an toàn hơn. Những chuyến đi đường vất vả hoặc nhiều trải nghiệm khám phá sẽ khiến tôi phải cân nhắc.”","“Với gia đình có con nhỏ, nghỉ dưỡng tạo cảm giác an toàn hơn. Những chuyến đi đường vất vả hoặc nhiều trải nghiệm khám phá sẽ khiến tôi phải cân nhắc.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r019
R020,020,P04,Loss of authenticity in Sapa,,,"“Sapa bây giờ mất bản sắc khá nhiều. Khách sạn mọc lên quá nhiều, nên cảm giác không khác Hà Nội là mấy. Tôi vẫn thích những nơi giữ được nét nguyên thuỷ và bản sắc dân tộc.”","“Sapa bây giờ mất bản sắc khá nhiều. Khách sạn mọc lên quá nhiều, nên cảm giác không khác Hà Nội là mấy. Tôi vẫn thích những nơi giữ được nét nguyên thuỷ và bản sắc dân tộc.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r020
R021,021,P04,Concept reaction,,,"“Concept khá phong phú và có nhiều ý hay, nhưng hiện tại vẫn nặng phần kiến thức và thiếu tính trải nghiệm.” MẠCH - Record tổng hợp phỏng vấn khách hàng","“Concept khá phong phú và có nhiều ý hay, nhưng hiện tại vẫn nặng phần kiến thức và thiếu tính trải nghiệm.” MẠCH - Record tổng hợp phỏng vấn khách hàng","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r021
R022,022,P04,Need workshop and humour,,,"“Hướng dẫn viên cần biết cách đan xen kiến thức với sự hài hước và trải nghiệm. Nếu có workshop hoặc hoạt động làm nghề, tour sẽ đỡ khô khan hơn.”","“Hướng dẫn viên cần biết cách đan xen kiến thức với sự hài hước và trải nghiệm. Nếu có workshop hoặc hoạt động làm nghề, tour sẽ đỡ khô khan hơn.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r022
R023,023,P04,Social dependency,,,"“Nếu bạn bè rủ thì tôi có thể đi, nhưng tôi khó tự chủ động book một tour như vậy. Quyết định của bạn bè ảnh hưởng khá nhiều.”","“Nếu bạn bè rủ thì tôi có thể đi, nhưng tôi khó tự chủ động book một tour như vậy. Quyết định của bạn bè ảnh hưởng khá nhiều.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r023
R024,024,P04,Accommodation requirement,,,"“Nếu muốn tôi book ngay, tour cần có khách sạn đẹp và lịch trình nhẹ hơn - sáng tham quan, chiều có thời gian ở khách sạn nghỉ ngơi.”","“Nếu muốn tôi book ngay, tour cần có khách sạn đẹp và lịch trình nhẹ hơn - sáng tham quan, chiều có thời gian ở khách sạn nghỉ ngơi.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r024
R025,025,P04,Sustainability awareness,,,"“Tôi có nghe về du lịch bền vững, chủ yếu hiểu là bảo vệ bản sắc và môi trường. Nhưng tôi nghĩ khái niệm này ít người biết, chủ yếu trong ngành du lịch.”","“Tôi có nghe về du lịch bền vững, chủ yếu hiểu là bảo vệ bản sắc và môi trường. Nhưng tôi nghĩ khái niệm này ít người biết, chủ yếu trong ngành du lịch.”","participant quote, edited for clarity","Family traveller / parent; past experiential interest, now prioritises safety, resort, children, service quality.",F_P04_2026Q2_r025
R026,026,P05,Need novelty,,,“Tôi đi du lịch vì muốn trải nghiệm điều mới và thử thách bản thân. Tôi không thích cảm giác nhàm chán hoặc lặp lại.”,“Tôi đi du lịch vì muốn trải nghiệm điều mới và thử thách bản thân. Tôi không thích cảm giác nhàm chán hoặc lặp lại.”,"participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r026
R027,027,P05,Active travel preference,,,"“Tôi không thích những chuyến đi thiếu hoạt động. Tôi muốn được trải nghiệm nhiều thứ, ăn ngon, ngắm cảnh nhiều; kiểu đi chỉ để healing không hợp với tôi lắm.”","“Tôi không thích những chuyến đi thiếu hoạt động. Tôi muốn được trải nghiệm nhiều thứ, ăn ngon, ngắm cảnh nhiều; kiểu đi chỉ để healing không hợp với tôi lắm.”","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r027
R028,028,P05,Tour vs self-guided,,,"“Khi đi tour, tôi hiểu được nhiều hơn về bản sắc và câu chuyện của nơi đến. Nếu đi tự túc, chuyến đi thường thiên về chơi nhiều hơn là hiểu sâu.”","“Khi đi tour, tôi hiểu được nhiều hơn về bản sắc và câu chuyện của nơi đến. Nếu đi tự túc, chuyến đi thường thiên về chơi nhiều hơn là hiểu sâu.”","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r028
R029,029,P05,Budget sensitivity,,,"“Tôi quan tâm đến chi phí vì không muốn chi nhiều cho một chuyến đi không đáng. Một chuyến đi đáng tiền phải có nhiều trải nghiệm và tác động được đến giác quan, cảm xúc.”","“Tôi quan tâm đến chi phí vì không muốn chi nhiều cho một chuyến đi không đáng. Một chuyến đi đáng tiền phải có nhiều trải nghiệm và tác động được đến giác quan, cảm xúc.”","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r029
R030,030,P05,Social dependency,,,"“Tôi gần như phải có bạn bè thân thiết đi cùng thì mới muốn đi. Với một tour văn hoá, tôi cần người đồng hành để cùng trao đổi và chia sẻ trải nghiệm.”","“Tôi gần như phải có bạn bè thân thiết đi cùng thì mới muốn đi. Với một tour văn hoá, tôi cần người đồng hành để cùng trao đổi và chia sẻ trải nghiệm.”","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r030
R031,031,P05,Familiarity bias,,,"“Với du lịch văn hoá ở Việt Nam, tôi không có nhu cầu mạnh bằng khi đi nước ngoài, vì cảm giác mình đã ở đây rồi và đã quen với văn hoá này.”","“Với du lịch văn hoá ở Việt Nam, tôi không có nhu cầu mạnh bằng khi đi nước ngoài, vì cảm giác mình đã ở đây rồi và đã quen với văn hoá này.”","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r031
R032,032,P05,Concept reaction,,,"“Concept khá hay và mới. Tôi thích những phần được đi, được trải nghiệm và được nhìn thấy trực tiếp.”","“Concept khá hay và mới. Tôi thích những phần được đi, được trải nghiệm và được nhìn thấy trực tiếp.”","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r032
R033,033,P05,Price thresholds,,,"“Nếu quá 5 triệu thì khả năng cao tôi sẽ không đi. Khoảng 3-5 triệu thì chấp nhận được, còn 1-2 triệu lại khiến tôi nghi ngờ chất lượng.” MẠCH - Record tổng hợp phỏng vấn khách hàng","“Nếu quá 5 triệu thì khả năng cao tôi sẽ không đi. Khoảng 3-5 triệu thì chấp nhận được, còn 1-2 triệu lại khiến tôi nghi ngờ chất lượng.” MẠCH - Record tổng hợp phỏng vấn khách...","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r033
R034,034,P05,Sustainable tourism,,,"“Tôi có nghe về du lịch bền vững qua báo chí, nhưng cách nói thường khá lý thuyết nên không có gì đọng lại nhiều.”","“Tôi có nghe về du lịch bền vững qua báo chí, nhưng cách nói thường khá lý thuyết nên không có gì đọng lại nhiều.”","participant quote, edited for clarity","24, office worker; frequent spontaneous traveller, strongly social, seeks active experiences.",F_P05_2026Q2_r034
R035,035,P06,Avoid tourist traps,,,“Tôi không thích đi những nơi đã bị du lịch hoá quá nhiều hoặc bị ảnh hưởng quá mạnh bởi tourist attraction.”,“Tôi không thích đi những nơi đã bị du lịch hoá quá nhiều hoặc bị ảnh hưởng quá mạnh bởi tourist attraction.”,"participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r035
R036,036,P06,Travel motivation,,,“Tôi không thích kiểu du lịch nghỉ dưỡng. Tôi thích được trải nghiệm cuộc sống local hơn.”,“Tôi không thích kiểu du lịch nghỉ dưỡng. Tôi thích được trải nghiệm cuộc sống local hơn.”,"participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r036
R037,037,P06,Memorable local experience,,,"“Những chuyến như Tà Xùa đáng nhớ vì có trekking, chợ phiên và cơ hội tương tác với cuộc sống của người dân.”","“Những chuyến như Tà Xùa đáng nhớ vì có trekking, chợ phiên và cơ hội tương tác với cuộc sống của người dân.”","participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r037
R038,038,P06,Staged experience concern,,,“Có những làng du lịch ở Trung Quốc khiến tôi có cảm giác mọi thứ đang được diễn cho khách xem.”,“Có những làng du lịch ở Trung Quốc khiến tôi có cảm giác mọi thứ đang được diễn cho khách xem.”,"participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r038
R039,039,P06,Concept reaction,,,"“Tôi muốn bỏ qua ngày đầu và cả nửa ngày thứ hai. Những phần hấp dẫn hơn là từ chiều tối ngày hai và ngày ba, vì có cảm giác được tự trải nghiệm nhiều hơn.”","“Tôi muốn bỏ qua ngày đầu và cả nửa ngày thứ hai. Những phần hấp dẫn hơn là từ chiều tối ngày hai và ngày ba, vì có cảm giác được tự trải nghiệm nhiều hơn.”","participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r039
R040,040,P06,Forced participation,,,"“Nếu hoạt động có cảm giác bị ép buộc, tôi sẽ rất nhanh chán. Tôi muốn có không gian để tự trải nghiệm theo cách của mình.”","“Nếu hoạt động có cảm giác bị ép buộc, tôi sẽ rất nhanh chán. Tôi muốn có không gian để tự trải nghiệm theo cách của mình.”","participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r040
R041,041,P06,Target mismatch,,,"“Tôi nghĩ tour này phù hợp hơn với nhóm 35 tuổi trở lên, những người thích lịch trình nhẹ nhàng và chậm hơn.”","“Tôi nghĩ tour này phù hợp hơn với nhóm 35 tuổi trở lên, những người thích lịch trình nhẹ nhàng và chậm hơn.”","participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r041
R042,042,P06,Sustainable tourism premium,,,"“Nếu tour có yếu tố xanh hoặc bền vững, tôi có thể trả cao hơn khoảng 10-20% mà chưa thấy quá lăn tăn.”","“Nếu tour có yếu tố xanh hoặc bền vững, tôi có thể trả cao hơn khoảng 10-20% mà chưa thấy quá lăn tăn.”","participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r042
R043,043,P06,Price threshold,,,"“Khoảng 10 triệu thì tôi sẽ tham gia, còn từ 15 triệu trở lên thì tôi sẽ không tham gia.”","“Khoảng 10 triệu thì tôi sẽ tham gia, còn từ 15 triệu trở lên thì tôi sẽ không tham gia.”","participant quote, edited for clarity","29, export employee; prefers nature, local life, self-directed travel, safety via friends.",F_P06_2026Q2_r043
R044,044,P07,Vietnam tour problem,,,"“Tour ở Việt Nam thường khá cứng nhắc, ít thay đổi và bị đóng khung theo một motif quen thuộc, nhiều khi vì vướng logistics.” MẠCH - Record tổng hợp phỏng vấn khách hàng","“Tour ở Việt Nam thường khá cứng nhắc, ít thay đổi và bị đóng khung theo một motif quen thuộc, nhiều khi vì vướng logistics.” MẠCH - Record tổng hợp phỏng vấn khách hàng","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r044
R045,045,P07,What customers care about,,,"“Khách thường quan tâm đến lịch trình, thời gian, các điểm chính và việc tour có bị gấp quá không. Ngoài ra, chất lượng bữa ăn và khách sạn là những yếu tố rất quan trọng.”","“Khách thường quan tâm đến lịch trình, thời gian, các điểm chính và việc tour có bị gấp quá không. Ngoài ra, chất lượng bữa ăn và khách sạn là những yếu tố rất quan trọng.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r045
R046,046,P07,Why self-guided travel wins,,,"“Đi tự túc cho tôi cảm giác cá nhân, riêng tư và tự do thời gian hơn. Còn đi tour thường bị giới hạn thời gian, đi đông và khó trải nghiệm kỹ.”","“Đi tự túc cho tôi cảm giác cá nhân, riêng tư và tự do thời gian hơn. Còn đi tour thường bị giới hạn thời gian, đi đông và khó trải nghiệm kỹ.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r046
R047,047,P07,Marketing hook,,,"“Với số đông, tour cần có hook rất nhanh trên mạng xã hội. Người xem chỉ tiếp xúc thông tin trong 30 giây đến 1 phút, nên hình ảnh và video ngắn phải đủ cuốn.”","“Với số đông, tour cần có hook rất nhanh trên mạng xã hội. Người xem chỉ tiếp xúc thông tin trong 30 giây đến 1 phút, nên hình ảnh và video ngắn phải đủ cuốn.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r047
R048,048,P07,Service risk,,,"“Điểm tôi lo là dịch vụ phục vụ không đồng đều, đặc biệt là vệ sinh và an toàn. Với khách có con nhỏ, những yếu tố này cực kỳ nhạy cảm.”","“Điểm tôi lo là dịch vụ phục vụ không đồng đều, đặc biệt là vệ sinh và an toàn. Với khách có con nhỏ, những yếu tố này cực kỳ nhạy cảm.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r048
R049,049,P07,Value comparison,,,"“Với cùng số tiền, khách sẽ so sánh trải nghiệm trong nước với trải nghiệm nước ngoài. Câu hỏi là số tiền bỏ ra có thật sự xứng với service hay không.”","“Với cùng số tiền, khách sẽ so sánh trải nghiệm trong nước với trải nghiệm nước ngoài. Câu hỏi là số tiền bỏ ra có thật sự xứng với service hay không.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r049
R050,050,P07,Concept strengths,,,"“Điểm mạnh là lịch trình có câu chuyện, có chữ tình và có cảm giác khám phá gốc gác của vùng miền. Nếu kết hợp food tour, tâm linh, biểu diễn và ăn uống thì sẽ hấp dẫn hơn.”","“Điểm mạnh là lịch trình có câu chuyện, có chữ tình và có cảm giác khám phá gốc gác của vùng miền. Nếu kết hợp food tour, tâm linh, biểu diễn và ăn uống thì sẽ hấp dẫn hơn.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r050
R051,051,P07,Concept weaknesses,,,"“Hiện tại concept chưa đủ cuốn hút với người Việt. Nó vẫn dừng ở mức tò mò, hơi giống học sinh đi ngoại khoá hơn là một chuyến du lịch thật sự hấp dẫn.”","“Hiện tại concept chưa đủ cuốn hút với người Việt. Nó vẫn dừng ở mức tò mò, hơi giống học sinh đi ngoại khoá hơn là một chuyến du lịch thật sự hấp dẫn.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r051
R052,052,P07,Proof from others,,,"“Hiện tại mức hứng thú của tôi khoảng 3/5. Nếu có người đi trước và review tốt, nó có thể tăng lên 5/5.”","“Hiện tại mức hứng thú của tôi khoảng 3/5. Nếu có người đi trước và review tốt, nó có thể tăng lên 5/5.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r052
R053,053,P07,Attention span,,,"“Nếu chỉ nghe nói liên tục, khoảng 10 phút là tôi bắt đầu mất tập trung.”","“Nếu chỉ nghe nói liên tục, khoảng 10 phút là tôi bắt đầu mất tập trung.”","participant quote, edited for clarity","Fashion industry; previously worked in tourism coordination/sales; strong perspective on service, marketing and",F_P07_2026Q2_r053
R054,054,P08,Life-stage shift,,,"“Trước đây tôi ưu tiên nơi an toàn và đầy đủ tiện nghi vì con còn nhỏ. Bây giờ khi con lớn hơn, tôi bắt đầu muốn những chuyến có tính khám phá hơn.”","“Trước đây tôi ưu tiên nơi an toàn và đầy đủ tiện nghi vì con còn nhỏ. Bây giờ khi con lớn hơn, tôi bắt đầu muốn những chuyến có tính khám phá hơn.”","participant quote, edited for clarity","41, bank employee, family with two children; moving from resort safety toward family-friendly exploration.",F_P08_2026Q2_r054
R055,055,P08,Meaningful travel,,,"“Một chuyến đi có ý nghĩa hơn khi vừa an toàn, đầy đủ tiện nghi, vừa có những trải nghiệm đời thường như đi chợ địa phương và tự nấu ăn.”","“Một chuyến đi có ý nghĩa hơn khi vừa an toàn, đầy đủ tiện nghi, vừa có những trải nghiệm đời thường như đi chợ địa phương và tự nấu ăn.”","participant quote, edited for clarity","41, bank employee, family with two children; moving from resort safety toward family-friendly exploration.",F_P08_2026Q2_r055
R056,056,P08,Memorable Hà Giang,,,"“Chuyến Hà Giang rất mệt và bụi, nhưng cảnh đẹp như tranh thuỷ mặc và có rất nhiều khoảnh khắc đáng nhớ. Con tôi còn nói đó là chuyến đi đáng nhớ nhất trong đời.” MẠCH - Record tổng hợp phỏng vấn khách hàng","“Chuyến Hà Giang rất mệt và bụi, nhưng cảnh đẹp như tranh thuỷ mặc và có rất nhiều khoảnh khắc đáng nhớ. Con tôi còn nói đó là chuyến đi đáng nhớ nhất trong đời.” MẠCH - Record...","participant quote, edited for clarity","41, bank employee, family with two children; moving from resort safety toward family-friendly exploration.",F_P08_2026Q2_r056
